year,community_area,comm_pop,community,commarea_km2,other1,property1,public_order1,violent1,malepop,male15_19pop,male15_24pop,male15_29pop,allwhitepop,allblackpop
2020,59,15246.0,MCKINLEY PARK,39.431799640295466,36,421,70,227,7601,533,1137,1876,6631,428
2020,60,32901.0,BRIDGEPORT,58.29151926539481,81,787,101,342,16522,651,1705,3890,15625,983
2020,61,39055.0,NEW CITY,134.6369632279751,218,1587,434,1356,19994,1603,3179,4661,17568,9371
2020,62,18523.0,WEST ELSDON,32.71109141959873,62,403,69,192,9162,770,1501,2401,11145,151
2020,63,35300.0,GAGE PARK,61.28489610145672,128,775,206,618,17261,1423,2985,4992,18499,2101
2020,64,24382.0,CLEARING,71.14519236904174,67,483,46,267,12501,852,1654,2527,19315,829
2020,65,32162.0,WEST LAWN,82.3153016672832,89,751,77,345,16738,1687,2734,3891,20136,999
2020,66,51243.0,CHICAGO LAWN,98.27946509626284,316,2339,536,1726,24298,2007,3863,5850,16973,21904
2020,67,26158.0,WEST ENGLEWOOD,87.94769193108257,326,2353,870,2146,11822,966,1755,2317,1733,23045
2020,68,22019.0,ENGLEWOOD,85.65232306609218,325,2032,832,2003,9890,882,1444,2152,978,20636
2020,69,29429.0,GREATER GRAND CROSSING,98.85316769023828,357,2686,746,2182,12695,1092,1881,3300,783,28748
2020,70,42902.0,ASHBURN,135.46033718240324,135,1027,151,596,20909,1505,2845,4149,14322,19995
2020,71,46698.0,AUBURN GRESHAM,105.06535358129682,417,2903,740,2225,21746,1387,2877,4298,889,44569
2020,72,19817.0,BEVERLY,88.7793639211539,67,572,51,169,9271,484,1071,1452,12479,7171
2020,73,26940.0,WASHINGTON HEIGHTS,79.63575286171745,191,1422,233,839,11775,814,1643,2523,989,26149
2020,74,18840.0,MOUNT GREENWOOD,75.58429000631087,50,315,38,118,9045,783,1349,1898,17551,807
2020,75,20526.0,MORGAN PARK,91.877340681314,111,957,109,518,9391,660,1301,1708,7522,13285
2020,76,13285.0,OHARE,371.8356076134321,85,599,280,230,7178,110,369,1151,9875,1016
2020,77,58693.0,EDGEWATER,48.449990830225794,132,1511,76,631,30192,1242,3224,6704,40505,8908
2021,1,55789.0,ROGERS PARK,51.25990244057384,203,1987,164,1038,27605,1370,3690,5938,31857,16788
2021,2,79897.0,WEST RIDGE,98.4290948429624,181,1887,118,834,39976,3024,4910,8206,45864,10821
2021,3,59119.0,UPTOWN,65.09564271609112,229,1796,126,1077,30506,870,3024,7510,38965,11650
2021,4,42338.0,LINCOLN SQUARE,71.35232822594875,88,1105,77,434,20554,812,1548,3499,33041,2200
2021,5,37094.0,NORTH CENTER,57.05416783863191,54,716,48,211,18381,700,1198,2615,32749,1407
2021,6,102611.0,LAKE VIEW,87.21479925558447,199,3344,188,1044,53712,832,6591,17323,88050,5575
2021,7,69641.0,LINCOLN PARK,88.31640045539218,104,2316,101,497,35159,2085,5851,11929,60092,3289
2021,8,98505.0,NEAR NORTH SIDE,76.67589595801923,350,5292,708,2056,47486,871,5059,14398,75559,7823
2021,9,11494.0,EDISON PARK,31.63631378020181,23,150,6,69,5486,251,406,774,10856,198
2021,10,39235.0,NORWOOD PARK,121.95910544621267,108,756,39,300,19261,1024,1810,2995,34685,544
2021,11,27172.0,JEFFERSON PARK,64.86816166921948,76,512,32,226,13228,716,1311,2236,20817,1175
2021,12,20311.0,FOREST GLEN,89.13089361873274,39,312,25,105,9960,438,714,1078,16739,172
2021,13,18847.0,NORTH PARK,70.28870642060181,43,446,37,179,8445,587,1200,1862,11983,740
