year,namelsad,tractpop,geoid,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,Census Tract 8425,2145.0,17031842500,842500,69,1.0,29429.0,0.0728872880492031,GREATER GRAND CROSSING,98.85316769023828
2020,Census Tract 8418,2502.0,17031841800,841800,69,1.0,29429.0,0.0850181793469027,GREATER GRAND CROSSING,98.85316769023828
2020,Census Tract 9801,0.0,17031980100,980100,56,0.5,36049.0,0.0,GARFIELD RIDGE,117.89077840626808
2020,Census Tract 9801,0.0,17031980100,980100,64,0.5,24382.0,0.0,CLEARING,71.14519236904174
2020,Census Tract 8428,6916.0,17031842800,842800,58,1.0,42728.0,0.1618610747051114,BRIGHTON PARK,75.89279029683405
2020,Census Tract 8438,1475.0,17031843800,843800,61,1.0,39055.0,0.0377672513122519,NEW CITY,134.6369632279751
2020,Census Tract 8410,1025.0,17031841000,841000,33,1.0,26376.0,0.0388610858356081,NEAR SOUTH SIDE,49.769639444136615
2020,Census Tract 8365,1791.0,17031836500,836500,36,1.0,6973.0,0.2568478416750323,OAKLAND,16.913961037490527
2020,Census Tract 8439,1717.0,17031843900,843900,42,0.5,23251.0,0.0738462861812395,WOODLAWN,57.81517950095547
2020,Census Tract 8439,1717.0,17031843900,843900,43,0.5,51992.0,0.033024311432528,SOUTH SHORE,81.81271638009841
2020,Census Tract 8342,4674.0,17031834200,834200,43,1.0,51992.0,0.0898984459147561,SOUTH SHORE,81.81271638009841
2020,Census Tract 8422,3619.0,17031842200,842200,8,1.0,95405.0,0.037933022378282,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 8380,2201.0,17031838000,838000,28,1.0,62816.0,0.0350388436067244,NEAR WEST SIDE,158.49246652347665
2020,Census Tract 107.02,5209.0,17031010702,10702,1,1.0,55643.0,0.0936146505400499,ROGERS PARK,51.25990244057384
2020,Census Tract 105.03,1973.0,17031010503,10503,1,1.0,55643.0,0.0354581888108117,ROGERS PARK,51.25990244057384
2020,Census Tract 105.02,2960.0,17031010502,10502,1,1.0,55643.0,0.0531962690724799,ROGERS PARK,51.25990244057384
2020,Census Tract 107.01,3562.0,17031010701,10701,1,1.0,55643.0,0.0640152400122207,ROGERS PARK,51.25990244057384
2020,Census Tract 209.02,4445.0,17031020902,20902,2,1.0,78763.0,0.056435128169318,WEST RIDGE,98.4290948429624
2020,Census Tract 203.02,5116.0,17031020302,20302,2,1.0,78763.0,0.0649543567411094,WEST RIDGE,98.4290948429624
2020,Census Tract 206.01,6112.0,17031020601,20601,2,1.0,78763.0,0.0775998882724121,WEST RIDGE,98.4290948429624
2020,Census Tract 203.01,5447.0,17031020301,20301,2,1.0,78763.0,0.0691568376014118,WEST RIDGE,98.4290948429624
2020,Census Tract 7608.03,5930.0,17031760803,760803,76,1.0,13285.0,0.4463680843056078,OHARE,371.8356076134321
2020,Census Tract 5305.01,5073.0,17031530501,530501,53,1.0,26484.0,0.1915496148618033,WEST PULLMAN,99.36519806341394
2020,Census Tract 5305.03,5192.0,17031530503,530503,53,1.0,26484.0,0.1960428938226854,WEST PULLMAN,99.36519806341394
2020,Census Tract 6503.01,4527.0,17031650301,650301,65,1.0,32162.0,0.1407561718798582,WEST LAWN,82.3153016672832
2020,Census Tract 6503.02,4766.0,17031650302,650302,65,1.0,32162.0,0.1481873017847148,WEST LAWN,82.3153016672832
2020,Census Tract 5305.02,1609.0,17031530502,530502,53,1.0,26484.0,0.0607536625887328,WEST PULLMAN,99.36519806341394
2020,Census Tract 8313,908.0,17031831300,831300,25,1.0,95073.0,0.0095505558886329,AUSTIN,199.25420338818205
2020,Census Tract 8314,2820.0,17031831400,831400,25,1.0,95073.0,0.0296614180682212,AUSTIN,199.25420338818205
2020,Census Tract 8370,1672.0,17031837000,837000,27,1.0,18075.0,0.0925034578146611,EAST GARFIELD PARK,53.88322083574582
2020,Census Tract 8424,3098.0,17031842400,842400,44,1.0,31363.0,0.0987788158020597,CHATHAM,82.32067029535114
2020,Census Tract 8321,3590.0,17031832100,832100,6,1.0,101428.0,0.0353945656031865,LAKE VIEW,87.21479925558447
2020,Census Tract 208.02,8536.0,17031020802,20802,2,1.0,78763.0,0.1083757601919683,WEST RIDGE,98.4290948429624
2020,Census Tract 207.02,8674.0,17031020702,20702,2,1.0,78763.0,0.1101278519101608,WEST RIDGE,98.4290948429624
2020,Census Tract 208.01,5859.0,17031020801,20801,2,1.0,78763.0,0.0743877201223924,WEST RIDGE,98.4290948429624
2020,Census Tract 402.02,7427.0,17031040202,40202,4,1.0,41350.0,0.1796130592503023,LINCOLN SQUARE,71.35232822594875
2020,Census Tract 402.01,6875.0,17031040201,40201,4,1.0,41350.0,0.1662636033857315,LINCOLN SQUARE,71.35232822594875
2020,Census Tract 404.02,4796.0,17031040402,40402,4,1.0,41350.0,0.1159854897218863,LINCOLN SQUARE,71.35232822594875
2020,Census Tract 315.01,4794.0,17031031501,31501,3,1.0,59453.0,0.0806351235429667,UPTOWN,65.09564271609112
2020,Census Tract 812.01,4688.0,17031081201,81201,8,1.0,95405.0,0.049137885855039,NEAR NORTH SIDE,76.67589595801923
2020,Census Tract 633.01,2925.0,17031063301,63301,6,1.0,101428.0,0.0288381906376937,LAKE VIEW,87.21479925558447
2020,Census Tract 4909.01,2928.0,17031490901,490901,49,1.0,39623.0,0.0738964742699947,ROSELAND,134.31370670490057
2020,Census Tract 4909.02,4565.0,17031490902,490902,49,1.0,39623.0,0.1152108623779118,ROSELAND,134.31370670490057
2020,Census Tract 3018.01,4437.0,17031301801,301801,30,1.0,70235.0,0.0631736313803659,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 7003.01,6359.0,17031700301,700301,70,1.0,42902.0,0.1482215281338865,ASHBURN,135.46033718240324
2020,Census Tract 3017.02,3961.0,17031301702,301702,30,1.0,70235.0,0.0563963835694454,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 7004.01,6455.0,17031700401,700401,70,1.0,42902.0,0.1504591860519323,ASHBURN,135.46033718240324
2020,Census Tract 8371,1349.0,17031837100,837100,27,1.0,18075.0,0.0746334716459197,EAST GARFIELD PARK,53.88322083574582
2020,Census Tract 8374,2199.0,17031837400,837400,27,1.0,18075.0,0.1216597510373444,EAST GARFIELD PARK,53.88322083574582
2020,Census Tract 8378,2409.0,17031837800,837800,28,1.0,62816.0,0.0383501018848701,NEAR WEST SIDE,158.49246652347665
2020,Census Tract 8373,2688.0,17031837300,837300,27,1.0,18075.0,0.1487136929460581,EAST GARFIELD PARK,53.88322083574582
2020,Census Tract 8415,2369.0,17031841500,841500,29,1.0,31310.0,0.0756627275630788,NORTH LAWNDALE,89.48742200680012
2020,Census Tract 8387,3932.0,17031838700,838700,29,1.0,31310.0,0.125582880868732,NORTH LAWNDALE,89.48742200680012
2020,Census Tract 1505.01,3793.0,17031150501,150501,15,1.0,63919.0,0.0593407281090129,PORTAGE PARK,110.19609711747748
2020,Census Tract 1504.01,4700.0,17031150401,150401,15,1.0,63919.0,0.0735305621176801,PORTAGE PARK,110.19609711747748
2020,Census Tract 1505.02,3734.0,17031150502,150502,15,1.0,63919.0,0.0584176848824293,PORTAGE PARK,110.19609711747748
2020,Census Tract 1105.02,3540.0,17031110502,110502,11,1.0,27194.0,0.130175774067809,JEFFERSON PARK,64.86816166921948
2020,Census Tract 1504.02,3540.0,17031150402,150402,15,1.0,63919.0,0.0553825935950186,PORTAGE PARK,110.19609711747748
2020,Census Tract 1403.02,3842.0,17031140302,140302,14,1.0,49280.0,0.0779626623376623,ALBANY PARK,53.54223080864773
2020,Census Tract 1403.01,2824.0,17031140301,140301,14,1.0,49280.0,0.0573051948051948,ALBANY PARK,53.54223080864773
2020,Census Tract 7003.02,5851.0,17031700302,700302,70,1.0,42902.0,0.1363805883175609,ASHBURN,135.46033718240324
2020,Census Tract 5805.01,4580.0,17031580501,580501,58,1.0,42728.0,0.1071896648567684,BRIGHTON PARK,75.89279029683405
2020,Census Tract 5805.02,5064.0,17031580502,580502,58,1.0,42728.0,0.1185171316232915,BRIGHTON PARK,75.89279029683405
2020,Census Tract 7302.01,5069.0,17031730201,730201,73,1.0,26940.0,0.1881588715664439,WASHINGTON HEIGHTS,79.63575286171745
2020,Census Tract 3018.02,2746.0,17031301802,301802,30,1.0,70235.0,0.0390973161529152,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 4401.01,4154.0,17031440101,440101,44,1.0,31363.0,0.1324490641839109,CHATHAM,82.32067029535114
2020,Census Tract 3017.01,4099.0,17031301701,301701,30,1.0,70235.0,0.0583612159179896,SOUTH LAWNDALE,127.99829784190968
2020,Census Tract 8391,7916.0,17031839100,839100,32,1.0,39327.0,0.2012866478500775,LOOP,46.3355654497116
2020,Census Tract 8331,7573.0,17031833100,833100,28,1.0,62816.0,0.120558456444218,NEAR WEST SIDE,158.49246652347665
2020,Census Tract 8381,1589.0,17031838100,838100,28,1.0,62816.0,0.0252961029037188,NEAR WEST SIDE,158.49246652347665
2020,Census Tract 8333,2850.0,17031833300,833300,28,1.0,62816.0,0.045370606214977,NEAR WEST SIDE,158.49246652347665
2020,Census Tract 8382,2200.0,17031838200,838200,28,1.0,62816.0,0.0350229240957717,NEAR WEST SIDE,158.49246652347665
