year,malepop,male15_19pop,male15_24pop,male15_29pop,geoid,namelsad,tractpop,tractce,community_area,weight,comm_pop,pop_share,community,commarea_km2
2020,3628,358,579,814,17031620300,Census Tract 6203,7322,620300,62,1.0,18523,0.395292339,WEST ELSDON,32.71109142
2020,2312,221,401,649,17031620400,Census Tract 6204,4687,620400,62,1.0,18523,0.253036765,WEST ELSDON,32.71109142
2020,980,70,124,140,17031730700,Census Tract 7307,2394,730700,73,1.0,26940,0.088864143,WASHINGTON HEIGHTS,79.63575286
2020,1504,11,90,198,17031740100,Census Tract 7401,2962,740100,74,1.0,18840,0.157218684,MOUNT GREENWOOD,75.58429001
2020,3046,400,643,756,17031740200,Census Tract 7402,6573,740200,74,1.0,18840,0.34888535,MOUNT GREENWOOD,75.58429001
2020,2541,205,270,467,17031740300,Census Tract 7403,4865,740300,74,1.0,18840,0.258227176,MOUNT GREENWOOD,75.58429001
2020,1954,167,346,477,17031740400,Census Tract 7404,4440,740400,74,1.0,18840,0.23566879,MOUNT GREENWOOD,75.58429001
2020,493,63,87,105,17031381800,Census Tract 3818,1149,381800,38,1.0,23669,0.04854451,GRAND BOULEVARD,48.49250315
2020,507,0,43,107,17031381900,Census Tract 3819,1300,381900,38,1.0,23669,0.054924162,GRAND BOULEVARD,48.49250315
2020,765,28,86,264,17031390100,Census Tract 3901,1587,390100,39,1.0,17972,0.088304028,KENWOOD,29.07174192
2020,1080,32,74,128,17031390200,Census Tract 3902,2174,390200,39,1.0,17972,0.120965947,KENWOOD,29.07174192
2020,1297,25,60,238,17031390300,Census Tract 3903,3002,390300,39,1.0,17972,0.167037614,KENWOOD,29.07174192
2020,1093,0,121,169,17031390400,Census Tract 3904,2324,390400,39,1.0,17972,0.129312264,KENWOOD,29.07174192
2020,794,49,97,206,17031390500,Census Tract 3905,1616,390500,39,1.0,17972,0.08991765,KENWOOD,29.07174192
2020,750,56,119,165,17031390600,Census Tract 3906,1714,390600,39,1.0,17972,0.095370576,KENWOOD,29.07174192
2020,2413,156,351,686,17031390700,Census Tract 3907,5555,390700,39,1.0,17972,0.309091921,KENWOOD,29.07174192
2020,696,78,129,129,17031440600,Census Tract 4406,1759,440600,44,1.0,31363,0.056085196,CHATHAM,82.3206703
2020,1142,60,171,210,17031440900,Census Tract 4409,2510,440900,44,1.0,31363,0.080030609,CHATHAM,82.3206703
2020,523,20,75,109,17031440700,Census Tract 4407,1392,440700,44,1.0,31363,0.044383509,CHATHAM,82.3206703
2020,904,16,77,202,17031440800,Census Tract 4408,1927,440800,44,1.0,31363,0.061441826,CHATHAM,82.3206703
2020,2561,209,374,698,17031630300,Census Tract 6303,5178,630300,63,1.0,35300,0.146685552,GAGE PARK,61.2848961
2020,3165,186,447,857,17031630500,Census Tract 6305,5879,630500,63,1.0,35300,0.166543909,GAGE PARK,61.2848961
2020,3132,215,607,945,17031630800,Census Tract 6308,6302,630800,63,1.0,35300,0.178526912,GAGE PARK,61.2848961
2020,1975,176,291,499,17031630900,Census Tract 6309,4401,630900,63,1.0,35300,0.124674221,GAGE PARK,61.2848961
2020,785,99,147,239,17031640100,Census Tract 6401,1502,640100,64,1.0,24382,0.061602822,CLEARING,71.14519237
2020,3177,176,509,835,17031640300,Census Tract 6403,6575,640300,64,1.0,24382,0.269666147,CLEARING,71.14519237
2020,1667,216,375,460,17031750100,Census Tract 7501,3680,750100,75,1.0,20526,0.17928481,MORGAN PARK,91.87734068
2020,1316,107,162,202,17031750200,Census Tract 7502,2700,750200,75,1.0,20526,0.131540485,MORGAN PARK,91.87734068
2020,1223,71,130,224,17031750300,Census Tract 7503,2523,750300,75,1.0,20526,0.122917276,MORGAN PARK,91.87734068
2020,1502,38,151,156,17031750400,Census Tract 7504,2883,750400,75,1.0,20526,0.140456007,MORGAN PARK,91.87734068
2020,2327,147,265,417,17031750500,Census Tract 7505,5355,750500,75,1.0,20526,0.260888629,MORGAN PARK,91.87734068
2020,819,46,141,168,17031282700,Census Tract 2827,2042,282700,28,1.0,62816,0.032507641,NEAR WEST SIDE,158.4924665
2020,697,16,121,304,17031282800,Census Tract 2828,1627,282800,28,1.0,62816,0.025901044,NEAR WEST SIDE,158.4924665
2020,491,12,41,62,17031400300,Census Tract 4003,1274,400300,40,1.0,10427,0.122182795,WASHINGTON PARK,42.37388148
2020,963,161,212,300,17031400500,Census Tract 4005,2110,400500,40,1.0,10427,0.20235926,WASHINGTON PARK,42.37388148
2020,936,170,238,253,17031400800,Census Tract 4008,2166,400800,40,1.0,10427,0.207729932,WASHINGTON PARK,42.37388148
2020,877,24,100,406,17031410100,Census Tract 4101,2148,410100,41,1.0,27722,0.077483587,HYDE PARK,45.10538016
2020,1293,204,440,629,17031410500,Census Tract 4105,2728,410500,41,1.0,27722,0.098405598,HYDE PARK,45.10538016
2020,1118,36,363,487,17031410600,Census Tract 4106,2483,410600,41,1.0,27722,0.089567852,HYDE PARK,45.10538016
2020,1348,109,336,409,17031460100,Census Tract 4601,2784,460100,46,1.0,29977,0.092871201,SOUTH CHICAGO,93.27218499
2020,1464,141,221,357,17031450300,Census Tract 4503,3335,450300,45,1.0,9629,0.346349569,AVALON PARK,34.85273773
2020,1073,56,131,207,17031460200,Census Tract 4602,2242,460200,46,1.0,29977,0.074790673,SOUTH CHICAGO,93.27218499
2020,1683,144,199,265,17031640400,Census Tract 6404,3361,640400,64,1.0,24382,0.137847592,CLEARING,71.14519237
2020,1903,80,189,319,17031640500,Census Tract 6405,3864,640500,64,1.0,24382,0.158477565,CLEARING,71.14519237
2020,2374,241,358,441,17031640600,Census Tract 6406,4123,640600,64,1.0,24382,0.169100156,CLEARING,71.14519237
2020,1756,84,187,271,17031640700,Census Tract 6407,3275,640700,64,1.0,24382,0.1343204,CLEARING,71.14519237
